trace,benchmark,weight,config,label,instructions,cycles,ipc,mpki,dir_mpki,cycwpki,accuracy,rv_delivered_pct,speedup,mpki_reduction_pct,dir_mpki_reduction_pct,cycwpki_reduction_pct
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_runlts_rv,RUNLTS (load RV),200000002,112347373,1.780193,0.5827,0.5112,121.495,99.7200,32.78,1.004785,12.3232,13.7909,7.0998
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_perfdir,Perfect direction,200000002,109248888,1.830682,0.0719,0.0000,12.899,99.9700,0.00,1.033283,89.1830,100.0000,90.1368
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_perfall,Perfect direction+target,200000002,108855498,1.837298,0.0000,0.0000,0.000,100.0000,0.00,1.037017,100.0000,100.0000,100.0000
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_tagescl64,TAGE-SC-L 64KB,200000002,190092110,1.052122,7.0410,6.7819,605.874,97.0900,0.00,1.000000,0.0000,0.0000,0.0000
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_tagescl192,TAGE-SC-L 192KB,200000001,180597837,1.107433,5.7310,5.4726,530.137,97.6300,0.00,1.052571,18.6053,19.3064,12.5005
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_ddtage,DD-TAGE (Ros),200000001,172580015,1.158883,4.6350,4.3763,465.314,98.0800,0.00,1.101472,34.1713,35.4710,23.1996
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_runlts,RUNLTS (no RV),200000001,174950639,1.143180,4.9820,4.7232,488.466,97.9400,0.00,1.086547,29.2430,30.3554,19.3783
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_runlts_rv,RUNLTS (load RV),200000002,174777799,1.144310,4.9640,4.7053,486.787,97.9500,32.88,1.087622,29.4987,30.6195,19.6555
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_perfdir,Perfect direction,200000002,140903608,1.419410,0.2591,0.0000,80.424,99.8900,0.00,1.349093,96.3201,100.0000,86.7259
710.omnetpp_r.sp0,710.omnetpp_r,0.0936,cbp_perfall,Perfect direction+target,200000002,139956740,1.429013,0.0000,0.0000,0.000,100.0000,0.00,1.358220,100.0000,100.0000,100.0000
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_tagescl64,TAGE-SC-L 64KB,200000003,251024587,0.796735,6.3880,0.9012,943.146,96.6400,0.00,1.000000,0.0000,0.0000,0.0000
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_tagescl192,TAGE-SC-L 192KB,200000003,250878630,0.797198,6.3770,0.8906,941.146,96.6500,0.00,1.000582,0.1722,1.1834,0.2120
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_ddtage,DD-TAGE (Ros),200000003,251001834,0.796807,6.3830,0.8963,942.821,96.6400,0.00,1.000091,0.0783,0.5437,0.0344
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_runlts,RUNLTS (no RV),200000003,250924517,0.797052,6.3750,0.8882,942.711,96.6500,0.00,1.000399,0.2035,1.4458,0.0461
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_runlts_rv,RUNLTS (load RV),200000003,250890395,0.797161,6.3730,0.8866,942.346,96.6500,40.12,1.000535,0.2348,1.6245,0.0847
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_perfdir,Perfect direction,200000003,245061882,0.816120,5.4990,0.0000,904.582,97.1100,0.00,1.024331,13.9167,100.0000,4.0888
710.omnetpp_r.sp2,710.omnetpp_r,0.8855,cbp_perfall,Perfect direction+target,200000003,212853864,0.939612,0.0000,0.0000,0.000,100.0000,0.00,1.179328,100.0000,100.0000,100.0000
